STATION,STATION_NAME,YEAR,Month,Flag,TPCP_10thmm,Missing,Consecutive Missing,
GHCND:USC00027560,SAN SIMON AZ US,1949,7,1,356,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,8,1,127,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,9,1,450,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,10,1,162,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,11,1,23,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1949,12,1,157,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,1,1,71,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,2,1,64,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,3,1,50,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,6,1,119,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,7,1,914,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,8,1,121,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,9,1,91,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,10,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,11,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1950,12,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,1,1,213,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,2,1,61,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,3,1,268,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,4,1,448,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,5,1,30,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,6,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,7,1,366,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,8,1,483,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,9,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,10,1,362,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,11,1,138,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1951,12,1,229,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,1,1,60,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,2,1,64,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,3,1,302,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,4,1,55,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,6,1,460,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,7,1,201,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,8,1,502,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,9,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,10,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,11,1,317,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1952,12,1,68,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,1,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,2,1,384,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,3,1,186,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,4,1,13,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,6,1,66,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,7,1,424,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,8,1,51,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,9,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,10,1,13,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,11,1,71,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1953,12,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,1,1,75,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,2,1,160,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,3,1,239,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,4,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,5,1,156,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,6,1,242,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,7,1,366,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,8,1,1119,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,9,1,310,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,10,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,11,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1954,12,1,20,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,1,1,282,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,2,1,43,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,3,1,71,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,4,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,6,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,7,1,531,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,8,1,448,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,9,1,3,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,10,1,25,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,11,1,8,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1955,12,1,66,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,1,1,138,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,2,1,173,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,3,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,4,1,63,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,5,1,5,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,6,1,68,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,7,1,112,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,8,1,402,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,9,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,10,1,40,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,11,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1956,12,1,39,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,1,1,374,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,2,1,58,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,3,1,147,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,4,1,28,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,5,1,275,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,6,1,44,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,7,1,614,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,8,1,1234,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,9,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,10,1,370,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,11,1,115,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1957,12,1,78,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,1,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,2,1,313,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,3,1,465,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,4,1,127,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,5,1,66,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,6,1,63,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,7,1,529,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,8,1,630,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,9,1,1169,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,10,1,72,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,11,1,127,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1958,12,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,1,1,20,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,2,1,97,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,3,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,4,1,26,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,5,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,6,1,58,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,7,1,534,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,8,1,903,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,9,1,0,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,10,1,204,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,11,1,51,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1959,12,1,340,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1960,1,1,368,0,0,249
GHCND:USC00027560,SAN SIMON AZ US,1960,2,1,152,0,0,
GHCND:USC00027560,SAN SIMON AZ US,1960,3,1,89,0,0,
